<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.03	130.90	133.72	128.00	128.91	6901	759500	1
2020.03.04	131.51	132.95	129.55	131.82	16228	2111520	1
2020.03.05	130.00	130.87	122.06	124.25	4521	756000	1
2020.03.06	119.80	120.38	116.76	119.22	9327	2030590	1
2020.03.09	106.85	109.79	102.02	103.77	28995	2661360	1
2020.03.10	110.54	112.82	106.50	110.50	10155	1251490	1
2020.03.11	108.00	110.65	97.51	102.50	5733	977300	1
2020.03.12	88.00	94.00	85.00	87.40	17662	1784070	1
2020.03.13	104.01	105.00	85.50	97.50	21568	2139690	1
2020.03.16	83.49	89.56	80.50	80.50	8239	749260	1
2020.03.17	86.01	87.96	82.01	85.70	8295	1169240	1
2020.03.18	75.33	79.99	67.92	72.80	14940	1189310	1
2020.03.19	68.30	79.00	64.60	75.99	13183	1320540	1
2020.03.20	81.00	82.44	74.49	75.90	13085	1267270	1
